d0,d1,d2,d3,d4,l1,d0/l1,d1/l1,d2/l1,d3/l1,d4/l1,slopes,mass
3.6,2.9,1.7,1.4,2.1,18.5,0.194594595,0.156756757,0.091891892,0.075675676,0.113513514,0.041767003,0.000994279
4.7,1.5,1.6,1.6,2.2,16.6,0.28313253,0.090361446,0.096385542,0.096385542,0.13253012,0.058221534,0.001074535
4.1,2.8,1.6,2.6,1.8,18.1,0.226519337,0.154696133,0.08839779,0.143646409,0.099447514,0.049202291,0.001169654
4.7,2.1,2.2,1.1,1.1,18.6,0.252688172,0.112903226,0.11827957,0.059139785,0.059139785,0.049643585,0.001222689
3.5,1.7,2.7,1.3,2.2,21.7,0.161290323,0.078341014,0.124423963,0.059907834,0.101382488,0.032838692,0.001136966
4.1,2.6,1.6,1.4,1.8,20.1,0.2039801,0.129353234,0.07960199,0.069651741,0.089552239,0.0409107,0.001185965
3.6,1.3,2.4,1.8,1.7,22.8,0.157894737,0.057017544,0.105263158,0.078947368,0.074561404,0.031089,0.001149135
4.9,1.2,1.3,1.7,2.6,22.1,0.221719457,0.054298643,0.058823529,0.076923077,0.117647059,0.042469029,0.001622229
3.6,2.6,2.5,2.6,1.2,16.3,0.220858896,0.159509202,0.153374233,0.159509202,0.073619632,0.050870972,0.00091879
4.3,1.7,1.9,1.2,1.6,16.7,0.25748503,0.101796407,0.113772455,0.071856287,0.095808383,0.051750591,0.00092992
3.7,1.6,2.4,1.5,2.4,24.8,0.149193548,0.064516129,0.096774194,0.060483871,0.096774194,0.029513918,0.001393893
4.9,2.1,2.6,2.1,2.3,18.5,0.264864865,0.113513514,0.140540541,0.113513514,0.124324324,0.056947809,0.001479644
3.7,1.9,1.6,1.7,1.1,20.3,0.18226601,0.093596059,0.078817734,0.083743842,0.054187192,0.035120692,0.000953926
3.3,2.5,1.8,1.1,1.4,21.6,0.152777778,0.115740741,0.083333333,0.050925926,0.064814815,0.02994595,0.000953338
3.9,1.1,2.3,1.6,1.5,24.1,0.161825726,0.045643154,0.095435685,0.066390041,0.062240664,0.030531759,0.001276512
3.8,2.9,2.7,2.5,1.3,16.7,0.22754491,0.173652695,0.161676647,0.149700599,0.077844311,0.052993556,0.001041204
4.4,2.1,2.4,2.2,2.7,18.2,0.241758242,0.115384615,0.131868132,0.120879121,0.148351648,0.05333782,0.001311417
4.5,2.8,2.4,1.6,2.2,19.7,0.228426396,0.14213198,0.121827411,0.081218274,0.111675127,0.048414517,0.001450798
3.2,1.9,1.4,2.6,1.4,24.7,0.129554656,0.076923077,0.056680162,0.105263158,0.056680162,0.025617043,0.001124895
3.5,1.1,2.9,2.7,1.5,20.9,0.167464115,0.052631579,0.138755981,0.129186603,0.071770335,0.035332585,0.001154556
